frame_path,Timestamp,Action Label
kitchen_id1_3p/0/Action_0000_0_normal.png,0,"(female1, stand, refridgerator)"
kitchen_id1_3p/0/Action_0013_0_normal.png,0.52,"(female1, walk, kitchentable)"
kitchen_id1_3p/0/Action_0025_0_normal.png,1,"(female1, walk, kitchentable)"
kitchen_id1_3p/0/Action_0038_0_normal.png,1.52,"(female1, walk, kitchentable)"
kitchen_id1_3p/0/Action_0050_0_normal.png,2,"(female1, stand, kitchentable) (female2, walk, kitchencounter)"
kitchen_id1_3p/0/Action_0063_0_normal.png,2.52,"(female1, stand, kitchentable) (female2, walk, kitchencounter) (male1, walk, kitchencounter)"
kitchen_id1_3p/0/Action_0081_0_normal.png,3,"(female1, grab, milkshake) (female2, stand, stove) (male1, stand, microwave)"
kitchen_id1_3p/0/Action_0088_0_normal.png,3.52,"(female1, stand, kitchentable) (female2, grab, fryingpan) (male1, grab, salmon)"
kitchen_id1_3p/0/Action_0100_0_normal.png,4,"(female1, stand, kitchentable) (female2, grab, fryingpan) (male1, grab, salmon)"
kitchen_id1_3p/0/Action_0113_0_normal.png,4.52,"(female1, drink, milkshake) (female2, put, fryingpan, stove) (male1, open, microwave)"
kitchen_id1_3p/0/Action_0125_0_normal.png,5,"(female1, drink, milkshake) (female2, stand, stove) (male1, open, microwave)"
kitchen_id1_3p/0/Action_0138_0_normal.png,5.52,"(female1, drink, milkshake) (female2, stand, stove) (male1, put, salmon, microwave)"
kitchen_id1_3p/0/Action_0150_0_normal.png,6,"(female1, drink, milkshake) (female2, stand, stove) (male1, stand, microwave)"
kitchen_id1_3p/0/Action_0163_0_normal.png,6.52,"(female1, drink, milkshake) (female2, switchon, stove) (male1, close, microwave)"
kitchen_id1_3p/0/Action_0175_0_normal.png,7,"(female1, walk, kitchencounter) (female2, switchon, stove) (male1, stand, microwave)"
kitchen_id1_3p/0/Action_0185_0_normal.png,7.4,"(female1, walk, kitchencounter) (female2, stand, stove) (male1, open, microwave)"
kitchen_id1_3p/0/Action_0200_0_normal.png,8,"(female1, walk, kitchencounter) (female2, switchoff, stove) (male1, stand, microwave)"
kitchen_id1_3p/0/Action_0213_0_normal.png,8.52,"(female1, stand, sink) (female2, grab, fryingpan) (male1, grab, salmon)"
kitchen_id1_3p/0/Action_0225_0_normal.png,9,"(female1, stand, sink) (female2, grab, fryingpan) (male1, grab, salmon)"
kitchen_id1_3p/0/Action_0238_0_normal.png,9.52,"(female1, stand, sink) (female2, walk, kitchentable) (male1, close, microwave)"
kitchen_id1_3p/0/Action_0250_0_normal.png,10,"(female1, put, milkshake, sink) (female2, walk, kitchentable) (male1, stand, microwave)"
kitchen_id1_3p/0/Action_0263_0_normal.png,10.52,"(female1, stand, sink) (female2, stand, kitchentable) (male1, walk, kitchentable)"
