frame_path,Timestamp,Action Label
Action_0000_0_normal.jpg,0.0,"(female1, walk, kitchentable)"
Action_0013_0_normal.jpg,0.52,"(female1, stand, kitchentable)"
Action_0025_0_normal.jpg,1.0,"(female1, stand, kitchentable)"
Action_0038_0_normal.jpg,1.52,"(female1, stand, kitchentable)"
Action_0050_0_normal.jpg,2.0,"(female1, grab, milk)"
Action_0063_0_normal.jpg,2.52,"(female1, grab, milk)"
Action_0075_0_normal.jpg,3.0,"(female1, grab, milk)"
Action_0088_0_normal.jpg,3.52,"(female1, walk, kitchentable)"
Action_0100_0_normal.jpg,4.0,"(female1, walk, kitchentable)"
Action_0113_0_normal.jpg,4.52,"(female1, walk, kitchentable)"
Action_0125_0_normal.jpg,5.0,"(female1, walk, microwave)"
Action_0138_0_normal.jpg,5.52,"(female1, walk, microwave)"
Action_0150_0_normal.jpg,6.0,"(female1, walk, microwave)"
Action_0163_0_normal.jpg,6.52,"(female1, stand, microwave)"
Action_0175_0_normal.jpg,7.0,"(female1, stand, microwave)"
Action_0188_0_normal.jpg,7.52,"(female1, open, microwave)"
Action_0200_0_normal.jpg,8.0,"(female1, open, microwave) (male1, walk, kitchentable)"
Action_0213_0_normal.jpg,8.52,"(female1, stand, microwave) (male1, walk, kitchentable)"
Action_0225_0_normal.jpg,9.0,"(female1, put, milk, microwave) (male1, walk, kitchentable)"
Action_0238_0_normal.jpg,9.52,"(female1, stand, microwave) (male1, walk, coffeemaker)"
Action_0250_0_normal.jpg,10.0,"(female1, stand, microwave) (male1, walk, coffeemaker)"
Action_0263_0_normal.jpg,10.52,"(female1, close, microwave) (male1, stand, coffeemaker)"
Action_0275_0_normal.jpg,11.0,"(female1, close, microwave) (male1, stand, coffeemaker)"
Action_0288_0_normal.jpg,11.52,"(female1, close, microwave) (male1, stand, coffeemaker)"
Action_0300_0_normal.jpg,12.0,"(female1, stand, microwave) (male1, put, mug, coffeemaker)"
Action_0313_0_normal.jpg,12.52,"(female1, open, microwave) (male1, stand, coffeemaker)"
Action_0325_0_normal.jpg,13.0,"(female1, open, microwave) (male1, stand, coffeemaker)"
Action_0338_0_normal.jpg,13.52,"(female1, stand, microwave) (male1, switchon, coffeemaker)"
Action_0350_0_normal.jpg,14.0,"(female1, grab, milk) (male1, switchon, coffeemaker)"
Action_0363_0_normal.jpg,14.52,"(female1, stand, microwave) (male1, stand, coffeemaker)"
Action_0375_0_normal.jpg,15.0,"(female1, stand, microwave) (male1, switchoff, coffeemaker)"
Action_0388_0_normal.jpg,15.52,"(female1, stand, microwave) (male1, switchoff, coffeemaker)"
Action_0400_0_normal.jpg,16.0,"(female1, drink, milk) (male1, switchoff, coffeemaker)"
Action_0413_0_normal.jpg,16.52,"(female1, drink, milk) (male1, grab, mug)"
Action_0425_0_normal.jpg,17.0,"(female1, drink, milk) (male1, grab, mug)"
Action_0438_0_normal.jpg,17.52,"(female1, drink, milk) (male1, stand, microwave)"
Action_0450_0_normal.jpg,18.0,"(female1, drink, milk) (male1, stand, microwave)"
Action_0463_0_normal.jpg,18.52,"(female1, drink, milk) (male1, walk, kitchentable)"
Action_0475_0_normal.jpg,19.0,"(female1, drink, milk) (male1, walk, kitchentable)"
Action_0488_0_normal.jpg,19.52,"(female1, stand, microwave) (male1, walk, kitchentable)"
Action_0500_0_normal.jpg,20.0,"(female1, stand, microwave) (male1, walk, kitchentable)"
Action_0513_0_normal.jpg,20.52,"(female1, stand, microwave) (male1, walk, kitchentable)"
Action_0525_0_normal.jpg,21.0,"(female1, stand, microwave) (male1, walk, kitchentable)"
Action_0538_0_normal.jpg,21.52,"(female1, stand, microwave) (male1, walk, kitchentable)"
Action_0550_0_normal.jpg,22.0,"(female1, stand, microwave) (male1, stand, kitchentable)"
Action_0563_0_normal.jpg,22.52,"(female1, stand, microwave) (male1, stand, kitchentable)"
Action_0575_0_normal.jpg,23.0,"(female1, stand, microwave) (male1, stand, kitchentable)"
Action_0588_0_normal.jpg,23.52,"(female1, stand, microwave) (male1, drink, mug)"
Action_0600_0_normal.jpg,24.0,"(female1, stand, microwave) (male1, drink, mug)"
Action_0613_0_normal.jpg,24.52,"(female1, stand, microwave) (male1, drink, mug)"
Action_0625_0_normal.jpg,25.0,"(female1, stand, microwave) (male1, drink, mug)"
Action_0638_0_normal.jpg,25.52,"(female1, stand, microwave) (male1, drink, mug)"
Action_0650_0_normal.jpg,26.0,"(female1, stand, microwave) (male1, drink, mug)"
Action_0663_0_normal.jpg,26.52,"(female1, stand, microwave) (male1, drink, mug)"
Action_0675_0_normal.jpg,27.0,"(female1, stand, microwave) (male1, drink, mug)"
Action_0688_0_normal.jpg,27.52,"(female1, stand, microwave) (male1, stand, coffeetable)"
