imagepath,prediction,gtoutput
"livingroom3/0/Action_0000_0_normal.png,livingroom3/0/Action_0013_0_normal.png,livingroom3/0/Action_0025_0_normal.png,livingroom3/0/Action_0038_0_normal.png","(female1, sit, chair) (male1, walk, sofa), (female1, sit, chair) (male1, stand, sofa), (female1, sit, chair) (male1, stand, sofa), (female1, sit, chair) (male1, stand, sofa)","(female1, stand, computer) (male1, walk, tv),(female1, stand, computer) (male1, stand, tv),(female1, stand, computer) (male1, stand, tv),(female1, stand, computer) (male1, stand, tv)"
"livingroom3/0/Action_0013_0_normal.png,livingroom3/0/Action_0025_0_normal.png,livingroom3/0/Action_0038_0_normal.png,livingroom3/0/Action_0050_0_normal.png","(female1, stand, computer) (male1, walk, coffeetable), (female1, walk, chair) (male1, stand, coffeetable), (female1, walk, chair) (male1, stand, coffeetable), (female1, stand, chair) (male1, grab, milkshake)","(female1, stand, computer) (male1, stand, tv),(female1, stand, computer) (male1, stand, tv),(female1, stand, computer) (male1, stand, tv),(female1, stand, computer) (male1, switchon, tv)"
"livingroom3/0/Action_0025_0_normal.png,livingroom3/0/Action_0038_0_normal.png,livingroom3/0/Action_0050_0_normal.png,livingroom3/0/Action_0063_0_normal.png","(female1, stand, computer) (male1, walk, coffeetable), (female1, walk, chair) (male1, stand, coffeetable), (female1, walk, chair) (male1, stand, coffeetable), (female1, stand, chair) (male1, grab, milkshake)","(female1, stand, computer) (male1, stand, tv),(female1, stand, computer) (male1, stand, tv),(female1, stand, computer) (male1, switchon, tv),(female1, stand, computer) (male1, switchon, tv)"
"livingroom3/0/Action_0038_0_normal.png,livingroom3/0/Action_0050_0_normal.png,livingroom3/0/Action_0063_0_normal.png,livingroom3/0/Action_0075_0_normal.png","(female1, sit, chair) (male1, walk, sofa), (female1, sit, chair) (male1, stand, sofa), (female1, sit, chair) (male1, stand, sofa), (female1, sit, chair) (male1, stand, sofa)","(female1, stand, computer) (male1, stand, tv),(female1, stand, computer) (male1, switchon, tv),(female1, stand, computer) (male1, switchon, tv),(female1, stand, computer) (male1, stand, tv)"
"livingroom3/0/Action_0050_0_normal.png,livingroom3/0/Action_0063_0_normal.png,livingroom3/0/Action_0075_0_normal.png,livingroom3/0/Action_0088_0_normal.png","(female1, sit, chair) (male1, walk, sofa), (female1, sit, chair) (male1, stand, sofa), (female1, sit, chair) (male1, stand, sofa), (female1, sit, chair) (male1, stand, sofa)","(female1, stand, computer) (male1, switchon, tv),(female1, stand, computer) (male1, switchon, tv),(female1, stand, computer) (male1, stand, tv),(female1, switchon, computer) (male1, stand, tv)"
"livingroom3/0/Action_0063_0_normal.png,livingroom3/0/Action_0075_0_normal.png,livingroom3/0/Action_0088_0_normal.png,livingroom3/0/Action_0100_0_normal.png","(female1, sit, chair) (male1, walk, sofa), (female1, sit, chair) (male1, walk, sofa), (female1, sit, chair) (male1, stand, sofa), (female1, sit, chair) (male1, stand, sofa)","(female1, stand, computer) (male1, switchon, tv),(female1, stand, computer) (male1, stand, tv),(female1, switchon, computer) (male1, stand, tv),(female1, switchon, computer) (male1, walk, coffeetable)"
"livingroom3/0/Action_0075_0_normal.png,livingroom3/0/Action_0088_0_normal.png,livingroom3/0/Action_0100_0_normal.png,livingroom3/0/Action_0113_0_normal.png","(female1, sit, chair) (male1, walk, sofa), (female1, sit, chair) (male1, stand, sofa), (female1, sit, chair) (male1, stand, sofa), (female1, sit, chair) (male1, stand, sofa)","(female1, stand, computer) (male1, stand, tv),(female1, switchon, computer) (male1, stand, tv),(female1, switchon, computer) (male1, walk, coffeetable),(female1, stand, computer) (male1, walk, coffeetable)"
"livingroom3/0/Action_0088_0_normal.png,livingroom3/0/Action_0100_0_normal.png,livingroom3/0/Action_0113_0_normal.png,livingroom3/0/Action_0125_0_normal.png","(female1, sit, chair) (male1, walk, sofa), (female1, sit, chair) (male1, walk, sofa), (female1, sit, chair) (male1, stand, sofa), (female1, sit, chair) (male1, stand, sofa)","(female1, switchon, computer) (male1, stand, tv),(female1, switchon, computer) (male1, walk, coffeetable),(female1, stand, computer) (male1, walk, coffeetable),(female1, walk, chair) (male1, stand, coffeetable)"
"livingroom3/0/Action_0100_0_normal.png,livingroom3/0/Action_0113_0_normal.png,livingroom3/0/Action_0125_0_normal.png,livingroom3/0/Action_0138_0_normal.png","(female1, sit, chair) (male1, walk, sofa), (female1, sit, chair) (male1, walk, sofa), (female1, sit, chair) (male1, stand, sofa), (female1, sit, chair) (male1, stand, sofa)","(female1, switchon, computer) (male1, walk, coffeetable),(female1, stand, computer) (male1, walk, coffeetable),(female1, walk, chair) (male1, stand, coffeetable),(female1, walk, chair) (male1, stand, coffeetable)"
"livingroom3/0/Action_0113_0_normal.png,livingroom3/0/Action_0125_0_normal.png,livingroom3/0/Action_0138_0_normal.png,livingroom3/0/Action_0150_0_normal.png","(female1, stand, computer) (male1, walk, coffeetable), (female1, walk, chair) (male1, stand, coffeetable), (female1, walk, chair) (male1, stand, coffeetable), (female1, stand, chair) (male1, grab, milkshake)","(female1, stand, computer) (male1, walk, coffeetable),(female1, walk, chair) (male1, stand, coffeetable),(female1, walk, chair) (male1, stand, coffeetable),(female1, stand, chair) (male1, grab, milkshake)"
