imagepath,prediction,gtoutput
"kitchen3/0/Action_0000_0_normal.png,kitchen3/0/Action_0013_0_normal.png,kitchen3/0/Action_0025_0_normal.png,kitchen3/0/Action_0038_0_normal.png","(female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, switchon, dishwasher)","(female1, grab, mug) (male1, grab, plate),(female1, stand, kitchentable) (male1,stand, kitchentable),(female1, walk, kitchencounter) (male1, walk, kitchencounter),(female1, stand, coffeemaker) (male1, walk, dishwasher)"
"kitchen3/0/Action_0013_0_normal.png,kitchen3/0/Action_0025_0_normal.png,kitchen3/0/Action_0038_0_normal.png,kitchen3/0/Action_0050_0_normal.png","(female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, switchon, dishwasher)","(female1, stand, kitchentable) (male1,stand, kitchentable),(female1, walk, kitchencounter) (male1, walk, kitchencounter),(female1, stand, coffeemaker) (male1, walk, dishwasher),(female1, stand, coffeemaker) (male1, stand, dishwasher)"
"kitchen3/0/Action_0025_0_normal.png,kitchen3/0/Action_0038_0_normal.png,kitchen3/0/Action_0050_0_normal.png,kitchen3/0/Action_0063_0_normal.png","(female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, switchon, dishwasher)","(female1, walk, kitchencounter) (male1, walk, kitchencounter),(female1, stand, coffeemaker) (male1, walk, dishwasher),(female1, stand, coffeemaker) (male1, stand, dishwasher),(female1, put, mug, coffeemaker) (male1, open, dishwasher)"
"kitchen3/0/Action_0038_0_normal.png,kitchen3/0/Action_0050_0_normal.png,kitchen3/0/Action_0063_0_normal.png,kitchen3/0/Action_0075_0_normal.png","(female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, switchon, dishwasher)","(female1, stand, coffeemaker) (male1, walk, dishwasher),(female1, stand, coffeemaker) (male1, stand, dishwasher),(female1, put, mug, coffeemaker) (male1, open, dishwasher),(female1, stand, coffeemaker) (male1, open, dishwasher)"
"kitchen3/0/Action_0050_0_normal.png,kitchen3/0/Action_0063_0_normal.png,kitchen3/0/Action_0075_0_normal.png,kitchen3/0/Action_0088_0_normal.png","(female1, stand, sink) (male1, stand, dishwasher), (female1, stand, sink) (male1, open, dishwasher), (female1, stand, sink) (male1, stand, dishwasher), (female1, stand, sink) (male1, stand, dishwasher)","(female1, stand, coffeemaker) (male1, stand, dishwasher),(female1, put, mug, coffeemaker) (male1, open, dishwasher),(female1, stand, coffeemaker) (male1, open, dishwasher),(female1, grab, mug) (male1, put, dish, dishwasher)"
"kitchen3/0/Action_0063_0_normal.png,kitchen3/0/Action_0075_0_normal.png,kitchen3/0/Action_0088_0_normal.png,kitchen3/0/Action_0100_0_normal.png","(female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, switchon, dishwasher)","(female1, put, mug, coffeemaker) (male1, open, dishwasher),(female1, stand, coffeemaker) (male1, open, dishwasher),(female1, grab, mug) (male1, put, dish, dishwasher),(female1, stand, coffeemaker) (male1, stand, dishwasher)"
"kitchen3/0/Action_0075_0_normal.png,kitchen3/0/Action_0088_0_normal.png,kitchen3/0/Action_0100_0_normal.png,kitchen3/0/Action_0113_0_normal.png","(female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, close, dishwasher), (female1, stand, sink) (male1, switchon, dishwasher)","(female1, stand, coffeemaker) (male1, open, dishwasher),(female1, grab, mug) (male1, put, dish, dishwasher),(female1, stand, coffeemaker) (male1, stand, dishwasher),(female1, walk, kitchentable) (male1, walk, stove)"
"kitchen3/0/Action_0088_0_normal.png,kitchen3/0/Action_0100_0_normal.png,kitchen3/0/Action_0113_0_normal.png,kitchen3/0/Action_0125_0_normal.png","(female1, stand, sink) (male1, stand, dishwasher), (female1, stand, sink) (male1, open, dishwasher), (female1, stand, sink) (male1, stand, dishwasher), (female1, stand, sink) (male1, stand, dishwasher)","(female1, grab, mug) (male1, put, dish, dishwasher),(female1, stand, coffeemaker) (male1, stand, dishwasher),(female1, walk, kitchentable) (male1, walk, stove),(female1, stand, kitchentable) (male1, stand, stove)"
"kitchen3/0/Action_0100_0_normal.png,kitchen3/0/Action_0113_0_normal.png,kitchen3/0/Action_0125_0_normal.png,kitchen3/0/Action_0138_0_normal.png","(female1, stand, sink) (male1, stand, dishwasher), (female1, stand, sink) (male1, open, dishwasher), (female1, stand, sink) (male1, stand, dishwasher), (female1, stand, sink) (male1, stand, dishwasher)","(female1, stand, coffeemaker) (male1, stand, dishwasher),(female1, walk, kitchentable) (male1, walk, stove),(female1, stand, kitchentable) (male1, stand, stove),(female1, stand, kitchentable) (male1, stand, stove)"
"kitchen3/0/Action_0113_0_normal.png,kitchen3/0/Action_0125_0_normal.png,kitchen3/0/Action_0138_0_normal.png,kitchen3/0/Action_0150_0_normal.png","(female1, stand, sink) (male1, stand, dishwasher), (female1, stand, sink) (male1, open, dishwasher), (female1, stand, sink) (male1, stand, dishwasher), (female1, stand, sink) (male1, stand, dishwasher)","(female1, walk, kitchentable) (male1, walk, stove),(female1, stand, kitchentable) (male1, stand, stove),(female1, stand, kitchentable) (male1, stand, stove),(female1, stand, kitchentable) (male1, stand, stove)"
